The Last Angel of History	Hones	Widgeon 12	Weightlifting at the 2002 Commonwealth Games – Men's 62 kg	Cryptex	Daniel Hochhauser	2016–17 Philadelphia Flyers season	Sigurimi	Kabirwala Tehsil	Dysoptus chiquitus	Álora	Dwi Joko Prihatin	
Tramshed, Cardiff	Mary Glackin	Erasmus Prize	Genocide (album)	Los Barrios de Luna	Arthur Forster	Sophus Thalbitzer	Gnorismoneura maichau	Bela Imre	Divan Club	Horacio Monti	The Fight (How I Met Your Mother)	
The Even Dozen Jug Band (album)	Patricia Silva Meléndez	Lavinia Santucci	ER (season 13)	Japanese seaplane tender Sanuki Maru (1939)	Clairefontaine-en-Yvelines	Pakistani Canadians	Artamène	Uri Rotstock	Leiostyla	Humber, Mississippi	The Red Bullet Tour	
Mainz-Amöneburg	Chauliacia securigera	La Capitale	Com-Pac Horizon Cat	2005 AFF U-23 Youth Championship	Nel van Vliet	Charlotte Bay	Ralitsa Stoyanova	Thelveton	Li Biao	Marshall Farnam Hurd	List of Billboard Hot 100 top-ten singles in 1960	
2017 World Wrestling Championships – Women's freestyle 58 kg	List of Danish films of the 1940s	Dzari	Scopula mappata	White plague (coral disease)	Benalmádena Stupa	2012 Sparta Prague Open – Singles	El Salvador at the 2019 World Athletics Championships	Lanckorona Pact	Yoshio Senda	Elena Kriegner	Leiopleura otero	
Sand, Punjab	Guangdong–Hong Kong–Macao Greater Bay Area	Kamdesh District	Hālau hula	Bridge in Albany Township	Nephopterix	Michelle McKeehan	Bush River (Maryland)	Malygin (icebreaker)	Gregori Chad Petree	Conjuring (book)	José María Narváez	
Shimonoseki City Museum of History	The Rain Song	2012 Dalian Aerbin F.C. season	Standards for Educational and Psychological Testing	Maria van Cortlandt van Rensselaer	HMS Donegal (1858)	Thitarodes gonggaensis	New Orleans Black Pelicans	Ƴ	Ilmar Jaks	Owenga	WBUV	
Shizuo Mochizuki	Ada Airport	Hugues Duboscq	Kalinki	Gulella ndamanyiluensis	Parisselja	Durham Bulls	Otis Skinner	2013 Eastern Michigan Eagles football team	Laura Jackson (cricketer)	Basal angiosperms	Die Warzau	St Michael and St George, White City	Kostandin Kristoforidhi	Samaritan Aramaic language	Sergio Previtali (cyclist)	
Spravedlnost	Bernardo Castello	Themistoklis Bamichas	Denizli Atatürk Stadium	Yahia Ben Rabbi	Portrait of the Artist as a Young Ram	Zingela	La razón de vivir	Brittany Brown (sprinter)	Wolfgang Schwarz	Mohawk River State Park	Zamłynie, Hrubieszów County	
Rediscovered (Mississippi John Hurt album)	Slaven Musa	Nadiya Didenko	Pseudochlamys	The Troubles (Haven)	Lernaea cyprinacea	Darya Blashko	Pan Am Flight 6	Eurovision Young Musicians 2000	1968–69 Ekstraklasa	United States Attorney for the Northern District of New York	Wenceslaus II, Duke of Bohemia	
Abaz Kupi	Detrital zircon geochronology	Driving Van Trailer	La Nación (Chile)	Mononychus vulpeculus	2010 Indian Premier League Final	1943 Peterborough by-election	Telephone network	Auxa perroti	1930 in Germany	Johan Vilhelm Andersen	Women First	
List of Nonesuch Records artists	Louis Holmes (American football)	2012 Wales rugby union tour of Australia	Oday Taleb	Matazu	Missouri Route 133	Mike & Brenda Sutton	Bulbophyllum geraense	Chapel of St Fyndoca	Elminster Enraged	Hammercloth	Paweł Szałamacha	
Pertti Laanti	IBSA European Judo Championships	Tellurite tellurate	Grace Greylock Niles	Universal Channel (Asian TV channel)	Ahlul Bayt Assembly of Canada	Bell Crags	Sumatra chicken	Joseph Drury	Warwick Light	List of Harlequin Romance novels released in 2007	Jan Kleczyński Jr.	
James Jones (psychologist)	Kieran Dixon	Plagiobothrys strictus	Nasini	DCL3	2012–13 Ukrainian Cup	Mordellistena ruandana	1998–99 Juventus F.C. season	2000 Italian Open – Men's doubles	Attentisme	Ana Albertina Delgado Álvarez	Robert Commanday	Frank Gilmore	Woudenberg	Paul Morrison (artist)	Progress M-29M	
Let's Get Married (1926 film)	Poschiavo (album)	Duangaksorn Chaidee	Istoricheskie Zapiski	Enthino Pookunna Pookkal	Jared Remy	Sonchus adscendens	1953 Milwaukee Braves season	Papert's principle	Burwell, Lincolnshire	Leonid Velilayev	Diaea placata	
I Say Yes	Bhavanji Arjan Khimji	List of disasters in the United States by death toll	Martini glass sign	Bani Qa'is District	Nathan Leroy Strong	Slavljevići	Latin! or Tobacco and Boys	Charlotte Führer	Jermaine O'Neal	Eva-Marie Liffner	Kavithalayaa Productions	
